axis,slope,intercept,r2
axis_1,-1.108861206059157e-07,0.03375546415195728,0.0006607267479608048
axis_2,-2.1151424637291016e-07,0.07493894388823816,0.0011521184623969338
axis_3,-2.4011647426856093e-07,0.07129176162103704,0.0017453767717430235
axis_4,-1.0673306520448302e-07,0.04205736667497253,0.0005125701362624913
axis_5,-1.557211257836142e-07,0.05005971223366837,0.0010708382168761466
axis_6,-6.377675154482758e-08,0.029995281033102932,0.0002455738138233965
axis_7,-2.953594264101453e-07,0.11415771479713838,0.0005565337561822536
axis_8,-4.975242841489103e-08,0.018415350597772627,0.00022264339870581296
